Date       | Ranbyus DGA        | Mirai Base   | Mirai DGA
2017-02-18 | sgriwnvnybgvrx.cc  | sgriwnvnybgv | -
2017-02-19 | qdxkgcaoluhstf.su  | qdxkgcaoluhs | qdxkgcaoluhs.support
2017-02-20 | qcaodvjpqcvkig.tw  | qcaodvjpqcvk | qcaodvjpqcvk.tech
2017-02-21 | lwkgypfuchrjix.net | lwkgypfuchrj | lwkgypfuchrj.tech
2017-02-22 | blbdxbwooohgqy.com | blbdxbwooohg | blbdxbwooohg.support
2017-02-23 | vghsqleitskclw.pw  | vghsqleitskc | -
2017-02-24 | xxxcujgnxiapdk.in  | xxxcujgnxiap | xxxcujgnxiap.online
2017-02-25 | vudcifwrwooxvc.me  | vudcifwrwoox | vudcifwrwoox.support
2017-02-26 | cdjdctrkruljha.cc  | cdjdctrkrulj | -
2017-02-27 | aaovdyhgfwmbkq.su  | aaovdyhgfwmb | aaovdyhgfwmb.support
2017-02-28 | gddsjnykvhtcig.tw  | gddsjnykvhtc | -
2017-03-01 | brrgceodumxkhb.me  | brrgceodumxk | brrgceodumxk.tech
2017-03-02 | nvgabbhltodwin.cc  | nvgabbhltodw | nvgabbhltodw.tech
2017-03-03 | lbqkwcwshsrxhm.su  | lbqkwcwshsrx | -
2017-03-04 | xavvbgniayqgwy.tw  | xavvbgniayqg | xavvbgniayqg.tech
2017-03-05 | sdoplblbefwmfn.net | sdoplblbefwm | sdoplblbefwm.support
2017-03-06 | ijuatehkdmqsvm.com | ijuatehkdmqs | -
2017-03-07 | dmndjnehgrnptp.pw  | dmndjnehgrnp | -
2017-03-08 | snkuuboupqsxan.in  | snkuuboupqsx | snkuuboupqsx.online
2017-03-09 | qsvswidnhxqfme.me  | qsvswidnhxqf | qsvswidnhxqf.support
2017-03-10 | wsxpdjbhedlwso.cc  | wsxpdjbhedlw | -
2017-03-11 | uxjbparaithbxa.su  | uxjbparaithb | -
2017-03-12 | nbynemoeeelbfu.tw  | nbynemoeeelb | -
2017-03-13 | iestebuwfamnay.net | iestebuwfamn | -
2017-03-14 | rgmlxftuqtnsom.com | rgmlxftuqtns | rgmlxftuqtns.support
2017-03-15 | mjccjjeehyhuph.pw  | mjccjjeehyhu | -
2017-03-16 | iwumqucqcsojrv.in  | iwumqucqcsoj | -
2017-03-17 | gtwlfkkakvqmcb.me  | gtwlfkkakvqm | -
2017-03-18 | sgriwnvnybgvrx.cc  | sgriwnvnybgv | -
2017-03-19 | qdxkgcaoluhstf.su  | qdxkgcaoluhs | qdxkgcaoluhs.support
2017-03-20 | qcaodvjpqcvkig.tw  | qcaodvjpqcvk | qcaodvjpqcvk.tech
2017-03-21 | lwkgypfuchrjix.net | lwkgypfuchrj | lwkgypfuchrj.tech
2017-03-22 | blbdxbwooohgqy.com | blbdxbwooohg | blbdxbwooohg.support
2017-03-23 | vghsqleitskclw.pw  | vghsqleitskc | -
2017-03-24 | xxxcujgnxiapdk.in  | xxxcujgnxiap | xxxcujgnxiap.online
2017-03-25 | vudcifwrwooxvc.me  | vudcifwrwoox | vudcifwrwoox.support
2017-03-26 | cdjdctrkruljha.cc  | cdjdctrkrulj | -
2017-03-27 | aaovdyhgfwmbkq.su  | aaovdyhgfwmb | aaovdyhgfwmb.support
2017-03-28 | gddsjnykvhtcig.tw  | gddsjnykvhtc | -
2017-03-29 | bxmxwftsggragw.net | bxmxwftsggra | bxmxwftsggra.support
2017-03-30 | kisghcuteuiwmx.com | kisghcuteuiw | -
